0	0
2.40917e-05	0.001
5.81363e-05	0.002
9.98001e-05	0.003
0.000147872	0.004
0.000201578	0.005
0.000260363	0.006
0.00032381	0.007
0.000391586	0.008
0.000463418	0.009
0.000539077	0.01
0.000618368	0.011
0.00070112	0.012
0.000787186	0.013
0.000876432	0.014
0.000968739	0.015
0.001064	0.016
0.00116212	0.017
0.001263	0.018
0.00136657	0.019
0.00147275	0.02
0.00158147	0.021
0.00169266	0.022
0.00180626	0.023
0.00192221	0.024
0.00204047	0.025
0.00216097	0.026
0.00228368	0.027
0.00240854	0.028
0.00253551	0.029
0.00266455	0.03
0.00279563	0.031
0.0029287	0.032
0.00306373	0.033
0.00320069	0.034
0.00333954	0.035
0.00348025	0.036
0.00362279	0.037
0.00376713	0.038
0.00391325	0.039
0.00406112	0.04
0.00421071	0.041
0.00436199	0.042
0.00451495	0.043
0.00466956	0.044
0.00482579	0.045
0.00498363	0.046
0.00514305	0.047
0.00530404	0.048
0.00546656	0.049
0.00563062	0.05
0.00579617	0.051
0.00596322	0.052
0.00613173	0.053
0.0063017	0.054
0.00647309	0.055
0.00664591	0.056
0.00682013	0.057
0.00699574	0.058
0.00717271	0.059
0.00735105	0.06
0.00753072	0.061
0.00771172	0.062
0.00789404	0.063
0.00807766	0.064
0.00826256	0.065
0.00844874	0.066
0.00863617	0.067
0.00882486	0.068
0.00901478	0.069
0.00920593	0.07
0.00939828	0.071
0.00959184	0.072
0.00978659	0.073
0.00998252	0.074
0.0101796	0.075
0.0103779	0.076
0.0105773	0.077
0.0107778	0.078
0.0109795	0.079
0.0111822	0.08
0.0113861	0.081
0.0115911	0.082
0.0117972	0.083
0.0120043	0.084
0.0122125	0.085
0.0124218	0.086
0.0126321	0.087
0.0128435	0.088
0.0130559	0.089
0.0132693	0.09
0.0134838	0.091
0.0136993	0.092
0.0139157	0.093
0.0141332	0.094
0.0143516	0.095
0.014571	0.096
0.0147914	0.097
0.0150127	0.098
0.0152351	0.099
0.0154583	0.1
0.0156825	0.101
0.0159076	0.102
0.0161337	0.103
0.0163606	0.104
0.0165885	0.105
0.0168173	0.106
0.017047	0.107
0.0172776	0.108
0.0175091	0.109
0.0177414	0.11
0.0179747	0.111
0.0182088	0.112
0.0184437	0.113
0.0186795	0.114
0.0189162	0.115
0.0191537	0.116
0.019392	0.117
0.0196312	0.118
0.0198712	0.119
0.0201121	0.12
0.0203537	0.121
0.0205961	0.122
0.0208394	0.123
0.0210835	0.124
0.0213283	0.125
